Type,Year,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Flag,Actual,W/L
Mark,2025,11,Oscar Allen,WCE,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,4,-9%,75%,,,4,0
Disposal,2025,11,Tim Kelly,WCE,ADE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,17,-1%,63%,,,17,0
Disposal,2025,11,Jake Waterman,WCE,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11,-4%,57%,,,7,1
Tackle,2025,11,Tim Kelly,WCE,ADE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,3.5,4%,50%,,,3,1
Tackle,2025,11,Harley Reid,WCE,ADE,FwdMid,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,3.5,-20%,70%,,,2,1
Tackle,2025,11,Liam Baker,WCE,ADE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,3.5,-9%,60%,,,2,1
Disposal,2025,12,Jake Soligo,ADE,SYD,FwdMid,✅ Neutral,✅ Neutral,🟡 Slight Unders,21.5,3%,46%,,,15,1
Disposal,2025,12,Mark Keane,ADE,SYD,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,13.5,-6%,64%,,🟡 CONSIDER,23,-1
Mark,2025,12,Mark Keane,ADE,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,-11%,46%,,🟢 STRONG BET,10,-1
Mark,2025,12,Eric Hipwood,BRL,ESS,KeyF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,5.5,-6%,73%,,🟡 CONSIDER,5,1
Disposal,2025,12,Kai Lohmann,BRL,ESS,MedF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,11.5,-48%,83%,,,15,-1
Mark,2025,12,Jaspa Fletcher,BRL,ESS,GenDD,🟡 Slight (Short Break),✅ Neutral,🔹 Slight Easy,6.5,-13%,64%,,🟡 CONSIDER,12,-1
Disposal,2025,12,Jarrod Berry,BRL,ESS,Wing,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,19,-3%,70%,,🟡 CONSIDER,25,-1
Disposal,2025,12,Dayne Zorko,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,27.5,-2%,55%,,,23,1
Disposal,2025,12,Noah Answerth,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,13.5,1%,46%,,,20,-1
Disposal,2025,12,Ryan Lester,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,14,2%,55%,,,15,-1
Disposal,2025,12,Lachie Neale,BRL,ESS,InsM,🟡 Slight (Short Break),✅ Neutral,🔹 Slight Easy,28.5,-6%,55%,,,26,1
Disposal,2025,12,Will Ashcroft,BRL,ESS,InsM,🟡 Slight (Short Break),✅ Neutral,🔹 Slight Easy,26.5,2%,55%,,,30,-1
Disposal,2025,12,Levi Ashcroft,BRL,ESS,Wing,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,21.5,-2%,36%,,🟡 CONSIDER,15,1
Disposal,2025,12,Cam Rayner,BRL,ESS,MedF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,15,-5%,73%,,🟡 CONSIDER,14,1
Disposal,2025,12,Callum Ah Chee,BRL,ESS,MedF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,12,-2%,64%,,🟡 CONSIDER,13,-1
Disposal,2025,12,Charlie Cameron,BRL,ESS,SmF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,11.5,-11%,56%,,🟡 CONSIDER,8,-1
Mark,2025,12,Jarrod Berry,BRL,ESS,Wing,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,5.5,-2%,60%,,🟡 CONSIDER,9,-1
Disposal,2025,12,Darcy Fort,BRL,ESS,Ruck,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,11,-2%,80%,,🟡 CONSIDER,10,1
Disposal,2025,12,Jaspa Fletcher,BRL,ESS,GenDD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,20.5,-3%,46%,,🟢 STRONG BET,21,-1
Disposal,2025,12,Zac Bailey,BRL,ESS,SmF,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,16.5,5%,55%,,🟢 STRONG BET,20,-1
Mark,2025,12,Jack Payne,BRL,ESS, KeyD,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,6.5,-20%,60%,,🟡 CONSIDER,9,-1
Mark,2025,12,Harris Andrews,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,6.5,11%,45%,,🟡 CONSIDER,12,-1
Disposal,2025,12,Harris Andrews,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,13,0%,55%,,🟡 CONSIDER,16,-1
Disposal,2025,12,Jack Payne,BRL,ESS, KeyD,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,10.5,10%,50%,,🟡 CONSIDER,17,-1
Disposal,2025,12,Darcy Wilmot,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,19.5,0%,46%,,🟢 STRONG BET,14,1
Disposal,2025,12,Eric Hipwood,BRL,ESS,KeyF,🟡 Slight (Short Break),✅ Neutral,🟠 Moderate Unders,11,-6%,55%,,🟢 STRONG BET,12,-1
Disposal,2025,12,Logan Morris,BRL,ESS,KeyF,🟡 Slight (Short Break),✅ Neutral,🟠 Moderate Unders,10,-15%,70%,,🟢 STRONG BET,11,-1
Disposal,2025,12,Jeremy Howe,COL,HAW,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,15.5,-7%,44%,,,10,1
Disposal,2025,12,Beau McCreery,COL,HAW,MedF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,11,-4%,55%,,🟡 CONSIDER,11,0
Disposal,2025,12,Jamie Elliott,COL,HAW,SmFF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,12,6%,50%,,🟡 CONSIDER,12,0
Disposal,2025,12,Tim Membrey,COL,HAW,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,10,9%,56%,,🟡 CONSIDER,9,1
Disposal,2025,12,Brody Mihocek,COL,HAW,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,8.5,11%,33%,,🟡 CONSIDER,12,-1
Mark,2025,12,Brody Mihocek,COL,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,3,33%,56%,,🟢 STRONG BET,6,-1
Mark,2025,12,Archie Roberts,ESS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,-8%,80%,,,8,-1
Disposal,2025,12,Archie Roberts,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,24,2%,40%,,,20,1
Disposal,2025,12,Andrew McGrath,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,22,6%,40%,,,15,1
Disposal,2025,12,Jaxon Prior,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,15.5,5%,40%,,,14,1
Disposal,2025,12,Mason Redman,ESS,BRL,KeyD,✅ Neutral,✅ Neutral,✅ Neutral,19.5,8%,50%,,,26,-1
Mark,2025,12,Jaxon Prior,ESS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,12%,60%,,,2,1
Mark,2025,12,Andrew McGrath,ESS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,4,20%,60%,,,1,1
Disposal,2025,12,Sam Durham,ESS,BRL,FwdMid,✅ Neutral,✅ Neutral,🟡 Slight Unders,22,6%,40%,,,8,1
Disposal,2025,12,Jye Caldwell,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,23.5,9%,50%,,,30,-1
Disposal,2025,12,Zach Merrett,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,28,5%,50%,,,28,0
Mark,2025,12,Jayden Laverde,ESS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,-9%,50%,,🟡 CONSIDER,7,-1
Mark,2025,12,Peter Wright,ESS,BRL,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5,17%,50%,,🟡 CONSIDER,6,-1
Disposal,2025,12,Nate Caddy,ESS,BRL,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,10.5,9%,40%,,🟡 CONSIDER,10,1
Disposal,2025,12,Peter Wright,ESS,BRL,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,11.5,28%,33%,,🟡 CONSIDER,15,-1
Disposal,2025,12,Todd Goldstein,ESS,BRL,Ruck,✅ Neutral,✅ Neutral,🟡 Slight Unders,12,3%,60%,,🟢 STRONG BET,8,1
Mark,2025,12,Nic Martin,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,7,14%,40%,,🟢 STRONG BET,7,0
Disposal,2025,12,Matt Guelfi,ESS,BRL,SmF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,11,7%,50%,,🟢 STRONG BET,10,1
Disposal,2025,12,Jade Gresham,ESS,BRL,SmF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,12.5,4%,63%,,🟢 STRONG BET,13,-1
Disposal,2025,12,Isaac Kako,ESS,BRL,SmF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,9.5,6%,50%,,🟢 STRONG BET,11,-1
Disposal,2025,12,Nic Martin,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,25.5,0%,60%,,🟢 STRONG BET,29,-1
Disposal,2025,12,Ben Hobbs,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,15,3%,70%,,🟢 STRONG BET,19,-1
Mark,2025,12,Xavier Duursma,ESS,BRL,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,14%,70%,,🟢 STRONG BET,4,1
Disposal,2025,12,Xavier Duursma,ESS,BRL,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,19.5,9%,50%,,🟢 STRONG BET,12,1
Mark,2025,12,Josh Battle,HAW,COL,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,-5%,80%,,,8,-1
Mark,2025,12,Darcy Wilmot,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,6,-9%,55%,,🟢 STRONG BET,6,0
Disposal,2025,12,Karl Worner,FRE,GCS,GenD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔹 Slight Easy,13.5,1%,50%,,🟡 CONSIDER,10,1
Disposal,2025,12,Luke Ryan,FRE,GCS,KeyD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,21.5,-2%,46%,,,18,1
Disposal,2025,12,Jordan Clark,FRE,GCS,GenD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,23,0%,64%,,,30,-1
Disposal,2025,12,Brennan Cox,FRE,GCS,KeyD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,12.5,-7%,46%,,,10,1
Disposal,2025,12,Heath Chapman,FRE,GCS,GenD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,14.5,-4%,50%,,,13,1
Disposal,2025,12,Andrew Brayshaw,FRE,GCS,InsM,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔵 Strong Easy,29,-4%,55%,,,30,-1
Disposal,2025,12,Murphy Reid,FRE,GCS,SmF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔵 Strong Easy,13.5,0%,36%,,🟡 CONSIDER,14,-1
Disposal,2025,12,Michael Frederick,FRE,GCS,SmF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔵 Strong Easy,12,1%,46%,,🟡 CONSIDER,7,1
Disposal,2025,12,Matthew Johnson,FRE,GCS,Wing,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟠 Moderate Unders,18.5,3%,55%,,🟡 CONSIDER,18,1
Disposal,2025,12,Corey Wagner,FRE,GCS,GenD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,15,6%,44%,,🟢 STRONG BET,18,-1
Disposal,2025,12,Josh Treacy,FRE,GCS,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,11.5,-4%,55%,,🟢 STRONG BET,15,-1
Disposal,2025,12,Jye Amiss,FRE,GCS,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,8,-3%,79%,,🟢 STRONG BET,9,-1
Disposal,2025,12,Patrick Voss,FRE,GCS,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,9,16%,29%,,🟢 STRONG BET,7,1
Disposal,2025,12,Luke Jackson,FRE,GCS,Ruck,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,16,10%,38%,,🟢 STRONG BET,27,-1
Disposal,2025,12,Jeremy Sharp,FRE,GCS,Wing,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟠 Moderate Unders,15,-3%,46%,,🟢 STRONG BET,4,1
Disposal,2025,12,Bailey Humphrey,GCS,FRE,FwdMid,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,18.5,-9%,50%,,,12,1
Disposal,2025,12,Sam Flanders,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,18.5,2%,33%,,,16,1
Disposal,2025,12,Brayden Fiorini,GCS,FRE,Wing,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟠 Moderate Unders,17.5,-3%,33%,,🟡 CONSIDER,19,-1
Disposal,2025,12,Matt Rowell,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,23,6%,40%,,,27,-1
Disposal,2025,12,Touk Miller,GCS,FRE,FwdMid,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,25,5%,50%,,,24,1
Disposal,2025,12,Noah Anderson,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,28,8%,50%,,,39,-1
Disposal,2025,12,Ben Long,GCS,FRE,SmF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,11.5,4%,44%,,🟡 CONSIDER,11,1
Disposal,2025,12,Ben Ainsworth,GCS,FRE,SmF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,14.5,5%,33%,,🟡 CONSIDER,13,1
Disposal,2025,12,Mac Andrew,GCS,FRE,KeyD,✅ Neutral,⚠️ Medium Unders Edge (Rain),✅ Neutral,13,-3%,67%,,,20,-1
Disposal,2025,12,Ben King,GCS,FRE,KeyF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟠 Moderate Unders,7.5,-500%,56%,,🟡 CONSIDER,7,1
Mark,2025,12,Shannon Neale,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,5.5,-34%,91%,,🟡 CONSIDER,5,1
Disposal,2025,12,Gryan Miers,GEE,WCE,SmF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,21.5,1%,38%,,,26,1
Mark,2025,12,Gryan Miers,GEE,WCE,SmF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,6,9%,44%,,,13,1
Disposal,2025,12,Rhys Stanley,GEE,WCE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,12,-15%,67%,,🟡 CONSIDER,9,1
Disposal,2025,12,Lawson Humphries,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,19.5,-1%,60%,,,12,1
Disposal,2025,12,Mark O'Connor,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,14.5,2%,46%,,,15,-1
Disposal,2025,12,Zach Guthrie,GEE,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,18.5,3%,55%,,,13,1
Mark,2025,12,Bailey Smith,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,6.5,-20%,70%,,,7,-1
Mark,2025,12,Max Holmes,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,5,4%,64%,,,7,-1
Disposal,2025,12,Max Holmes,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,24.5,-1%,64%,,,27,-1
Disposal,2025,12,Bailey Smith,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,30,3%,50%,,,30,-1
Disposal,2025,12,Tom Stewart,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,21,-22%,67%,,🟡 CONSIDER,18,1
Disposal,2025,12,Shaun Mannagh,GEE,WCE,MedFF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,18.5,1%,63%,,🟡 CONSIDER,18,1
Disposal,2025,12,Sam De Koning,GEE,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,15.5,-10%,73%,,🟢 STRONG BET,12,1
Disposal,2025,12,Brad Close,GEE,WCE,MedF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,12,-1%,55%,,🟡 CONSIDER,13,-1
Disposal,2025,12,Shannon Neale,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,9.5,-18%,82%,,🟡 CONSIDER,8,1
Disposal,2025,12,Jeremy Cameron,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,15.5,-6%,73%,,🟡 CONSIDER,14,1
Mark,2025,12,Oliver Dempsey,GEE,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,5,-20%,91%,,🟡 CONSIDER,2,1
Tackle,2025,12,Tom Atkins,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,8.5,17%,36%,,🟢 STRONG BET,10,-1
Mark,2025,12,Jeremy Cameron,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,7,-18%,64%,,🟡 CONSIDER,7,0
Disposal,2025,12,Oliver Dempsey,GEE,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,17.5,-3%,55%,,🟢 STRONG BET,14,1
Tackle,2025,12,Max Holmes,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,3.5,4%,64%,,🟢 STRONG BET,3,1
Tackle,2025,12,Bailey Smith,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,6,-2%,50%,,🟢 STRONG BET,4,1
Mark,2025,12,Jesse Hogan,GWS,RIC,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.5,-15%,75%,,🟡 CONSIDER,4,1
Mark,2025,12,Harry Himmelberg,GWS,RIC,KeyD,✅ Neutral,✅ Neutral,🔹 Slight Easy,6.5,0%,50%,,🟡 CONSIDER,4,1
Disposal,2025,12,Tom Barrass,HAW,COL,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,11,-5%,50%,,,9,1
Mark,2025,12,Tom Stewart,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,7.5,-27%,63%,,🟡 CONSIDER,7,1
Disposal,2025,12,Karl Amon,HAW,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,23.5,3%,50%,,,22,1
Disposal,2025,12,Josh Battle,HAW,COL,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,18,11%,40%,,,15,1
Disposal,2025,12,James Sicily,HAW,COL,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,21,-4%,60%,,,6,1
Disposal,2025,12,Lloyd Meek,HAW,COL,Ruck,✅ Neutral,✅ Neutral,🟠 Moderate Unders,13.5,-5%,60%,,🟡 CONSIDER,15,-1
Disposal,2025,12,Dylan Moore,HAW,COL,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,17,-5%,60%,,🟡 CONSIDER,18,-1
Tackle,2025,12,James Worpel,HAW,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,10%,70%,,🟡 CONSIDER - Strong DvP Tackles,4,1
Tackle,2025,12,Jai Newcombe,HAW,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,16%,60%,,🟡 CONSIDER - Strong DvP Tackles,3,1
Tackle,2025,12,Lloyd Meek,HAW,COL,Ruck,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,-10%,70%,,🟢 STRONG BET,4,0
Mark,2025,12,James Sicily,HAW,COL,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,3%,70%,,,3,1
Mark,2025,12,Mark O'Connor,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,6.5,-12%,64%,,,6,1
Disposal,2025,12,Kysaiah Pickett,MEL,STK,FwdMid,✅ Neutral,✅ Neutral,🟠 Moderate Unders,20,2%,38%,,,12,1
Disposal,2025,12,Harvey Langford,MEL,STK,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,20,-5%,40%,,,10,1
Disposal,2025,12,Christian Petracca,MEL,STK,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,25.5,3%,36%,,,22,1
Disposal,2025,12,Jake Melksham,MEL,STK,MedF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,11,-10%,71%,,🟡 CONSIDER,9,1
Disposal,2025,12,Daniel Turner,MEL,STK,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,15.5,0%,25%,,🟡 CONSIDER,14,1
Disposal,2025,12,Max Gawn,MEL,STK,Ruck,✅ Neutral,✅ Neutral,🟡 Slight Unders,21,3%,46%,,🟡 CONSIDER,22,-1
Mark,2025,12,Sam Banks,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,-4%,55%,,,7,-1
Disposal,2025,12,Sam Banks,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,23.5,16%,0%,,,25,-1
Disposal,2025,12,Nick Vlastuin,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,19.5,-3%,46%,,,19,1
Mark,2025,12,Nick Vlastuin,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,5.5,17%,64%,,,4,1
Mark,2025,12,Tom Brown,RIC,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,9%,56%,,,2,1
Disposal,2025,12,Jack Ross,RIC,GWS,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,17.5,4%,45%,,,17,1
Disposal,2025,12,Kamdyn McIntosh,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,14.5,5%,46%,,,4,1
Tackle,2025,12,Rhyan Mansell,RIC,GWS,SmF,✅ Neutral,✅ Neutral,🟡 Slight Unders,3,0%,75%,,🟡 CONSIDER,4,-1
Mark,2025,12,Nathan Broad,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,14%,46%,,🟢 STRONG BET,7,-1
Tackle,2025,12,Jacob Hopper,RIC,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,-14%,73%,,🟡 CONSIDER - Strong DvP Tackles,2,1
Tackle,2025,12,Kamdyn McIntosh,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,7%,58%,,🟡 CONSIDER - Strong DvP Tackles,1,1
Tackle,2025,12,Tim Taranto,RIC,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,8%,57%,,🟡 CONSIDER - Strong DvP Tackles,2,1
Disposal,2025,12,Nathan Broad,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,15,-2%,56%,,🟡 CONSIDER,17,-1
Mark,2025,12,Ben Miller,RIC,GWS,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5,16%,36%,,🟢 STRONG BET,6,-1
Mark,2025,12,Lawson Humphries,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,6.5,-9%,70%,,,4,1
Tackle,2025,12,Marcus Windhager,STK,MEL,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,4,-16%,82%,,,4,0
Tackle,2025,12,Jack Higgins,STK,MEL,SmF,✅ Neutral,✅ Neutral,🟡 Slight Unders,2.5,6%,55%,,🟡 CONSIDER,1,-1
Disposal,2025,12,Rowan Marshall,STK,MEL,Ruck,✅ Neutral,✅ Neutral,🔴 Strong Unders,16.5,6%,55%,,🟡 CONSIDER,16,1
Mark,2025,12,Dayne Zorko,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,8,-7%,73%,,,6,1
Disposal,2025,12,James Jordon,SYD,ADE,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,14.5,900%,36%,,,11,1
Mark,2025,12,Matt Roberts,SYD,ADE,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,2%,64%,,,8,-1
Mark,2025,12,Riley Bice,SYD,ADE,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,12%,60%,,,0,1
Disposal,2025,12,Chad Warner,SYD,ADE,FwdMid,✅ Neutral,✅ Neutral,🟡 Slight Unders,25,-8%,73%,,,19,1
Disposal,2025,12,James Rowbottom,SYD,ADE,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,19,-4%,46%,,,20,-1
Disposal,2025,12,Braeden Campbell,SYD,ADE,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,13.5,0%,36%,,🟡 CONSIDER,8,1
Mark,2025,12,Nick Blakey,SYD,ADE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,2%,73%,,🟡 CONSIDER,0,1
Mark,2025,12,Hayden McLean,SYD,ADE,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,3.5,6%,60%,,🟢 STRONG BET,1,1
Tackle,2025,12,James Rowbottom,SYD,ADE,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6.5,11%,55%,,🟢 STRONG BET,9,-1
Tackle,2025,12,Chad Warner,SYD,ADE,FwdMid,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,-5%,65%,,🟢 STRONG BET,4,0
Disposal,2025,12,Brodie Grundy,SYD,ADE,Ruck,✅ Neutral,✅ Neutral,🔴 Strong Unders,16,7%,46%,,🟡 CONSIDER,23,-1
Mark,2025,12,Jake Lloyd,SYD,ADE,FwdMid,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6.5,11%,46%,,🟢 STRONG BET,3,1
Disposal,2025,12,Jake Lloyd,SYD,ADE,FwdMid,✅ Neutral,✅ Neutral,🔴 Strong Unders,20,6%,46%,,🟢 STRONG BET,11,1
Disposal,2025,12,Ryan Maric,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,22.5,-1%,55%,,,15,1
Disposal,2025,12,Liam Duggan,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,19,-2%,55%,,,23,-1
