Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Tier,Bet Flag,Actual,W/L
Disposal,17,Ed Richards,WBD,NTH,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,26.5,-2%,40%,4,🥈,Disposal + Neutral Weather + Line >27,26,1
Disposal,17,George Hewett,CAR,COL,InsM,✅ Neutral,✅ Neutral,✅ Neutral,27.5,2%,47%,4,🥈,Disposal + Neutral Weather + Line >27,18,1
Disposal,17,Josh Daicos,COL,CAR,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,28.5,-2%,40%,4,🥈,Disposal + Neutral Weather + Line >27,27,1
Disposal,17,Colby McKercher,NTH,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,28.5,-4%,45%,4,🥈,Disposal + Neutral Weather + Line >27,32,-1
Disposal,17,Connor Rozee,PTA,BRL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,27.5,5%,40%,4,🥈,Disposal + Neutral Weather + Line >27,31,-1
Disposal,17,Finn Callaghan,GWS,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,27.5,-1%,60%,4,🥈,Disposal + Neutral Weather + Line >27,37,-1
Disposal,17,Tom Green,GWS,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,31,0%,60%,4,🥈,Disposal + Neutral Weather + Line >27,35,-1
Mark,17,John Noble,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,5.5,-9%,64%,7,🥉,,4,1
Disposal,17,Nick Daicos,COL,CAR,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,29.5,0%,47%,4,🥈,Disposal + Neutral Weather + Line >27,36,-1
Disposal,17,Zach Merrett,ESS,GCS,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,27.5,-1%,50%,4,🥈,Disposal + Neutral Weather + Line >27,40,-1
Disposal,17,Nasiah Wanganeen-Milera,STK,HAW,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,28.5,2%,47%,4,🥈,Disposal + Neutral Weather + Line >27,43,-1
Mark,17,Nasiah Wanganeen-Milera,STK,HAW,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.5,-13%,53%,3,🥇,Des + Mark + Avg <-10%,6,1
Mark,17,Nathan Broad,RIC,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.5,-5%,60%,7,🥉,GenD + Mark + Avg <2%,6,1
Mark,17,Josh Worrell,ADE,MEL,GenD,✅ Neutral,✅ Neutral,🔵 Strong Easy,6,-11%,80%,,,,5,1
Mark,17,Mitchell Hinge,ADE,MEL,GenD,✅ Neutral,✅ Neutral,🔵 Strong Easy,6,-13%,72%,,,,2,1
Mark,17,Jeremy Howe,COL,CAR,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,-14%,64%,7,🥉,GenD + Mark + Avg <2%,0,1
Mark,17,Rory Laird,ADE,MEL,GenD,✅ Neutral,✅ Neutral,🔵 Strong Easy,6.5,-8%,57%,,,,4,1
Mark,17,Josh Daicos,COL,CAR,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,-3%,71%,7,🥉,GenD + Mark + Avg <2%,4,1
Mark,17,Connor Idun,GWS,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,7,0%,57%,7,🥉,GenD + Mark + Avg <2%,10,-1
Mark,17,Harry Himmelberg,GWS,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,6,1%,53%,7,🥉,GenD + Mark + Avg <2%,9,-1
Disposal,17,Ben King,GCS,ESS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,8,-9%,57%,,,,6,1
Mark,17,Bodhi Uwland,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,5.5,-13%,64%,7,🥉,GenD + Mark + Avg <2%,9,-1
Disposal,17,Ben Long,GCS,ESS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,11.5,-2%,62%,,,,8,1
Disposal,17,Bodhi Uwland,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,17.5,-9%,71%,,,,16,1
Disposal,17,Daniel Rioli,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,20,-2%,57%,,,,19,1
Mark,17,Joel Jeffrey,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,6,-4%,78%,7,🥉,GenD + Mark + Avg <2%,10,-1
Mark,17,Ryan Maric,WCE,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,-8%,67%,9,🥉,GenD + Mark + Strong DvP,2,1
Mark,17,Sam Docherty,CAR,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,7,-7%,64%,7,🥉,GenD + Mark + Avg <2%,6,1
Disposal,17,Matt Rowell,GCS,ESS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,25.5,-1%,50%,,,,15,1
Disposal,17,Touk Miller,GCS,ESS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,25.5,3%,57%,,,,25,1
Mark,17,Aaron Cadman,GWS,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,6,-23%,78%,1,🥇,KeyF + Mark + Line >5.0,7,-1
Mark,17,Jordan Clark,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,6.5,-10%,80%,,,,2,1
Mark,17,Aaron Naughton,WBD,NTH,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,5.5,-7%,67%,1,🥇,KeyF + Mark + Line >5.0,9,-1
Mark,17,Jeremy Cameron,GEE,RIC,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,6,-8%,60%,,,,11,-1
Disposal,17,Paul Curtis,NTH,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,12,6%,58%,,,,7,1
Disposal,17,Rhylee West,WBD,NTH,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,14,1%,47%,,,,13,1
Disposal,17,Harry Rowston,GWS,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,19.5,-31%,67%,8,🥉,Long Travel + Avg ≤-10%,12,1
Disposal,17,Jake Riccardi,GWS,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,14.5,-10%,46%,8,🥉,Long Travel + Avg ≤-10%,12,1
Disposal,17,Murphy Reid,FRE,SYD,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,14.5,-5%,47%,,,,15,-1
Disposal,17,Sam Powell-Pepper,PTA,BRL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,15,-3%,53%,,,,16,-1
Disposal,17,Lachie Ash,GWS,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,30,-3%,60%,4,🥈,Disposal + Neutral Weather + Line >27,29,-1
Disposal,17,Dante Visentini,PTA,BRL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,10,-1%,43%,,,,0,1
Disposal,17,Harry Himmelberg,GWS,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,18.5,-1%,53%,,,,21,-1
Disposal,17,Joe Richards,PTA,BRL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,15.5,2%,57%,,,,14,1
Disposal,17,Josh Sinn,PTA,BRL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,13.5,-9%,54%,,,,10,1
Disposal,17,Josh Treacy,FRE,SYD,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11,3%,53%,,,,11,0
Mark,17,Logan Morris,BRL,PTA,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5,-16%,71%,,,,2,1
Tackle,17,Jamie Cripps,WCE,GWS,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,-6%,54%,,,,2,1
Tackle,17,Liam Baker,WCE,GWS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,3,9%,60%,,,,1,1
Mark,17,Archie Roberts,ESS,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,16%,36%,,,,2,1
Mark,17,Nic Martin,ESS,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,7,9%,50%,,,,4,1
Mark,17,Connor O'Sullivan,GEE,RIC,GenD,✅ Neutral,✅ Neutral,🔵 Strong Easy,7,-14%,78%,,,,4,1
Mark,17,Lawson Humphries,GEE,RIC,GenD,✅ Neutral,✅ Neutral,🔵 Strong Easy,7,-17%,78%,,,,5,1
Mark,17,Oisin Mullin,GEE,RIC,GenD,✅ Neutral,✅ Neutral,🔵 Strong Easy,5,-33%,86%,,,,1,1
Mark,17,Tom Stewart,GEE,RIC,GenD,✅ Neutral,✅ Neutral,🔵 Strong Easy,9,-10%,60%,,,,5,1
Tackle,17,Willem Drew,PTA,BRL,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,6.5,7%,40%,,,,5,1
Mark,17,Miles Bergman,PTA,BRL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5.5,9%,40%,,,,2,1
Mark,17,Nick Vlastuin,RIC,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,17%,67%,,,,4,1
Mark,17,Tom Brown,RIC,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,8%,57%,,,,4,1
Mark,17,Jack Sinclair,STK,HAW,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,4%,53%,,,,4,1
Disposal,17,Jake Stringer,GWS,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,11,-15%,75%,8,🥉,Long Travel + Avg ≤-10%,14,-1
Mark,17,Callum Mills,SYD,FRE,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,6.5,0%,50%,,,,5,1
Mark,17,Harry Sheezel,NTH,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,-4%,47%,,,,3,1
Mark,17,Matt Roberts,SYD,FRE,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,5.5,12%,36%,,,,5,1
Mark,17,Jake Riccardi,GWS,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,5,-13%,73%,#7,🥇,,3,1
Mark,17,Lachie Ash,GWS,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,6.5,3%,53%,#7,🥉,,5,1
Mark,17,Nick Haynes,CAR,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,8.5,5%,47%,#7,🥉,,6,1
Disposal,17,Zak Butters,PTA,BRL,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,27,3%,50%,,,,31,-1
Disposal,17,Toby Greene,GWS,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,18.5,-9%,71%,,,,18,1
Disposal,17,Connor Idun,GWS,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,18.5,4%,47%,,,,20,-1
Tackle,17,Bailey Humphrey,GCS,ESS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,4,13%,71%,,,,4,0
Disposal,17,Ben Ainsworth,GCS,ESS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,14,-1%,46%,,,,14,0
Disposal,17,Joe Fonti,GWS,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,14,-19%,75%,8,🥉,Long Travel + Avg ≤-10%,16,-1
Disposal,17,Aliir Aliir,PTA,BRL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,12,5%,50%,,,,12,0
Mark,17,Cooper Sharman,STK,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,9%,54%,,,,5,0
Disposal,17,Cameron Zurhaar,NTH,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,10,10%,53%,,,,10,0
Mark,17,Luke Ryan,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,7,-7%,80%,,,,7,0
Disposal,17,Xavier O'Halloran,GWS,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,17,-21%,78%,8,🥉,Long Travel + Avg ≤-10%,27,-1
Disposal,17,Jed Walter,GCS,ESS,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,8.5,-15%,69%,8,🥉,Long Travel + Avg ≤-10%,10,-1
Tackle,17,Christian Petracca,MEL,ADE,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,11%,53%,5,🥉,Strong/Moderate DvP + Tackle + Avg <18%,2,1
Tackle,17,Clayton Oliver,MEL,ADE,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6,-6%,71%,5,🥉,Strong/Moderate DvP + Tackle + Avg <18%,5,1
Tackle,17,Tristan Xerri,NTH,WBD,Ruck,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,2%,53%,5,🥉,Strong/Moderate DvP + Tackle + Avg <18%,5,1
Tackle,17,Adam Cerra,CAR,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,1%,67%,5,🥉,Strong/Moderate DvP + Tackle + Avg <18%,3,1
Tackle,17,Jesse Motlop,CAR,COL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,-7%,47%,5,🥉,Strong/Moderate DvP + Tackle + Avg <18%,2,1
Disposal,17,Darcy Byrne-Jones,PTA,BRL,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,11.5,5%,43%,,,,12,-1
Disposal,17,Jordon Sweet,PTA,BRL,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,8.5,12%,36%,,,,13,-1
Tackle,17,Patrick Cripps,CAR,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,5.5,4%,47%,5,🥉,Strong/Moderate DvP + Tackle + Avg <18%,3,1
Tackle,17,Brady Hough,WCE,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,-25%,64%,5,🥉,Strong/Moderate DvP + Tackle + Avg <18%,4,1
Tackle,17,Elijah Hewett,WCE,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,-20%,77%,5,🥉,Strong/Moderate DvP + Tackle + Avg <18%,3,1
Tackle,17,Jack Graham,WCE,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,7,11%,43%,5,🥉,Strong/Moderate DvP + Tackle + Avg <18%,4,1
Tackle,17,George Hewett,CAR,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,5.5,15%,33%,5,🥉,Strong/Moderate DvP + Tackle + Avg <18%,7,-1
Tackle,17,Jack Viney,MEL,ADE,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,2%,70%,5,🥉,Strong/Moderate DvP + Tackle + Avg <18%,9,-1
Tackle,17,Finn Callaghan,GWS,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,6,-10%,45%,2,🥇,Tackle + Moderate Travel + Avg <5%,1,1
Tackle,17,Harry Rowston,GWS,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,5,-10%,45%,2,🥇,Tackle + Moderate Travel + Avg <5%,2,1
Tackle,17,Toby Bedford,GWS,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,6,2%,64%,2,🥇,Tackle + Moderate Travel + Avg <5%,3,1
Tackle,17,Tom Green,GWS,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,4.5,-16%,71%,2,🥇,Tackle + Moderate Travel + Avg <5%,0,1
Tackle,17,Connor Rozee,PTA,BRL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,3.5,1%,40%,2,🥇,Tackle + Moderate Travel + Avg <5%,3,1
Tackle,17,Sam Powell-Pepper,PTA,BRL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,3,-4%,67%,2,🥇,Tackle + Moderate Travel + Avg <5%,1,1
Tackle,17,Joe Richards,PTA,BRL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,3,-5%,64%,2,🥇,Tackle + Moderate Travel + Avg <5%,3,0
Tackle,17,Darcy Jones,GWS,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,3.5,4%,50%,2,🥇,Tackle + Moderate Travel + Avg <5%,4,-1
Tackle,17,Matt Rowell,GCS,ESS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,9,-7%,71%,2,🥇,Tackle + Moderate Travel + Avg <5%,17,-1
Disposal,17,Kane Farrell,PTA,BRL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,18.5,6%,62%,,,,19,-1
Tackle,17,Touk Miller,GCS,ESS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,4,-2%,64%,2,🥇,Tackle + Moderate Travel + Avg <5%,7,-1
Disposal,17,Corey Wagner,FRE,SYD,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,14.5,4%,50%,,,,22,-1
Disposal,17,Karl Worner,FRE,SYD,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,14.5,-6%,50%,,,,16,-1
Disposal,17,Jason Horne-Francis,PTA,BRL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,19.5,5%,30%,,,,19,1
Tackle,17,Luke Jackson,FRE,SYD,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,4,-8%,67%,2,🥇,Tackle + Moderate Travel + Avg <5%,5,-1
Disposal,17,Willem Drew,PTA,BRL,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,17,5%,53%,,,,21,-1
Disposal,17,Bailey Humphrey,GCS,ESS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,16.5,-1%,50%,,,,18,-1
Disposal,17,Patrick Voss,FRE,SYD,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,9.5,7%,36%,,,,6,1
Disposal,17,Sam Clohesy,GCS,ESS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,16.5,-4%,54%,,,,15,1
Disposal,17,Joel Jeffrey,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,18,-1%,64%,,,,32,-1
Disposal,17,John Noble,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,25,0%,43%,,,,29,-1
Disposal,17,Jase Burgoyne,PTA,BRL,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,19,7%,40%,,,,15,1
Disposal,17,Sam Flanders,GCS,ESS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,22,10%,35%,,,,24,-1
Disposal,17,Wil Powell,GCS,ESS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,16,-5%,50%,,,,20,-1
Disposal,17,Max Holmes,GEE,RIC,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,28.5,-8%,60%,,,,36,-1
Disposal,17,Josh Kelly,GWS,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,21.5,8%,45%,,,,27,-1
Tackle,17,Cooper Lord,CAR,COL,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,3.5,-6%,64%,,,,2,1
Tackle,17,Zak Butters,PTA,BRL,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,4.5,19%,50%,,,,6,-1
Mark,17,Mitch Georgiades,PTA,BRL,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,5,13%,53%,,,,7,-1
Mark,17,Caleb Daniel,NTH,WBD,GenD,✅ Neutral,✅ Neutral,🔹 Slight Easy,4,-3%,73%,,,,5,-1
Mark,17,Eric Hipwood,BRL,PTA,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,4.5,8%,53%,,,,5,-1
Tackle,17,Tyler Brockman,WCE,GWS,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,-10%,58%,,,,4,-1
Mark,17,Gryan Miers,GEE,RIC,GenF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,7.5,-8%,54%,,,,5,-1
Mark,17,Charlie Curnow,CAR,COL,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,4%,50%,1,🥇,KeyF + Mark + Line >5.0,9,-1
Mark,17,Shannon Neale,GEE,RIC,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4.5,-16%,53%,,,,8,-1
Mark,17,Zach Guthrie,GEE,RIC,KeyD,✅ Neutral,✅ Neutral,🔵 Strong Easy,7,-13%,80%,,,,14,-1
Tackle,17,Matthew Johnson,FRE,SYD,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,3.5,-11%,60%,2,🥇,Tackle + Moderate Travel + Avg <5%,1,1
Mark,17,Jarman Impey,HAW,STK,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,5,-10%,75%,,,,7,-1
Mark,17,Josh Battle,HAW,STK,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,6,-8%,78%,,,,9,-1
Mark,17,Karl Amon,HAW,STK,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,5,-11%,71%,,,,7,-1
Tackle,17,Corey Wagner,FRE,SYD,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,3.5,29%,50%,,,,6,-1
Mark,17,Mason Wood,STK,HAW,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,1%,54%,6,🥉,Wing + Mark + Avg <20% + Line >4.5,5,1
Mark,17,Darcy Fogarty,ADE,MEL,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4.5,3%,50%,,,,6,-1
Mark,17,Christian Salem,MEL,ADE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,27%,33%,,,,10,-1
Mark,17,Jake Bowey,MEL,ADE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,20%,40%,,,,5,-1
Mark,17,Nick Blakey,SYD,FRE,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,4.5,18%,36%,,,,7,-1
Mark,17,Brody Mihocek,COL,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,4,12%,54%,#2,🥇,,5,-1
Mark,17,Tim Membrey,COL,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,4,11%,50%,#2,🥇,,6,-1
Mark,17,Isaac Quaynor,COL,CAR,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,3%,50%,#7,🥉,,9,-1
Disposal,17,Aaron Cadman,GWS,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,10,-7%,80%,,,,11,-1
Disposal,17,Callum Brown,GWS,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,12.5,-7%,54%,,,,16,-1
Disposal,17,Travis Boak,PTA,BRL,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,19.5,9%,25%,,,,27,-1
Disposal,17,Darcy Jones,GWS,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,14.5,-1%,47%,,,,17,-1
Disposal,17,Willie Rioli,PTA,BRL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,9.5,14%,43%,,,,8,1
Mark,17,Dylan Stephens,NTH,WBD,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,5,-6%,57%,6,🥉,Wing + Mark + Avg <20% + Line >4.5,4,1
Mark,17,Jase Burgoyne,PTA,BRL,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5,9%,67%,6,🥉,Wing + Mark + Avg <20% + Line >4.5,2,1
Mark,18,Jeremy Cameron,GEE,GWS,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6,+2.1%,43.80%,1,🥇,KeyF + Mark + Line >5.0 + No Easy DvP,2,1
Disposal,18,Alex Neal-Bullen,ADE,WBD,Unknown,✅ Neutral,✅ Neutral,⚠️ Unknown,15.5,-3.50%,50.00%,,,SKIP - No Strategy,11,1
Disposal,18,Ben Keays,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,17,-0.40%,31.20%,,,SKIP - No Strategy,19,-1
Disposal,18,Brodie Smith,ADE,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,32.5,+126.7%,100.00%,,,SKIP - No Strategy,0,1
Disposal,18,Daniel Curtin,ADE,WBD,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,13.5,+14.9%,68.80%,,,SKIP - No Strategy,26,-1
Disposal,18,Darcy Fogarty,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,10.5,+0.3%,46.70%,,,SKIP - No Strategy,13,-1
Disposal,18,Isaac Cumming,ADE,WBD,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,14.5,-0.40%,56.20%,,,SKIP - No Strategy,14,1
Disposal,18,Izak Rankine,ADE,WBD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,20,-7.80%,37.50%,,,SKIP - No Strategy,18,1
Disposal,18,Jake Soligo,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,18.5,-11.40%,31.20%,,,SKIP - No Strategy,22,-1
Disposal,18,James Peatling,ADE,WBD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,20.5,+0.3%,42.90%,,,SKIP - No Strategy,12,1
Disposal,18,Jordan Dawson,ADE,WBD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,24.5,+2.3%,50.00%,,,SKIP - No Strategy,27,-1
Disposal,18,Jordon Butts,ADE,WBD,KeyD,✅ Neutral,✅ Neutral,🔵 Strong Easy,8.5,+23.4%,66.70%,,,SKIP - No Strategy,2,1
Disposal,18,Josh Worrell,ADE,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,20,+0.0%,56.20%,,,SKIP - No Strategy,21,-1
Disposal,18,Mark Keane,ADE,WBD,KeyD,✅ Neutral,✅ Neutral,🔵 Strong Easy,15.5,+11.7%,62.50%,,,SKIP - No Strategy,12,1
Disposal,18,Max Michalanney,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,11.5,-9.40%,50.00%,,,SKIP - No Strategy,16,-1
Disposal,18,Mitchell Hinge,ADE,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,17,-4.50%,46.70%,,,SKIP - No Strategy,14,1
Disposal,18,Reilly O'Brien,ADE,WBD,Ruck,✅ Neutral,✅ Neutral,🔹 Slight Easy,13,+6.7%,43.80%,,,SKIP - No Strategy,17,-1
